question,answer
Sir please look in to this idea.. provide video download options like Netflix Amazon prime..so that during network problem or traveling also we can study the content.,Please drop us a mail at team@appliedaicourse.com regarding the same.
Can Anyone tell me where I can find the syllabus in the form of pdf?,The syllabus copy has been forwarded to your email.
"Hi Team,
I have  a small suggestion. Assignments like KNN are taking too long to complete. for a working professional its becoming very difficult to run code , waiting for it complete . if it runs in error  running again. Its becoming very difficult to complete the assignment as it is spreading across days. Please prepare the assignments in a way it is easy to complete within less time instead of spanning across days.","Thanks for the suggestion. If you face any difficulty in assignments, please send it to team@appliedaicourse.com"
"What are the avg salary offered after completion of course ?
Consider fresher scenario",Please call us on +91 8106-920-029 or send an email to team@appliedaicourse.com
which is best source/books to dive deep into python,You can refer this.  It's interactive and you can practice the learned concepts thereitself.
"Hi team ,What will be the validity of the course ?",It is for 365 days.
"1. Have you used Panda? If yes, where and why? 

2. If you have to predict a person's chances of getting a heart attack in near future based on his health data, what model will you recommend and why? 

3. Give an example where false negative is more important than false positive and vice versa. 

4. Define sensitivity and specificity in context of models","1.Yes you will its usage in whole course.
2.Well this is the question you will be able to answer with the progress of the course.If it is posed as the classification problem you can have Logistic regression/Random Forests/SVMs etc.
3.Like in cancer prediction if the person has cancer and model predicts negative which is false can cost the patient's life right.
4.As you progress we have detailed introduction to such topics.Please progress there"
How much duration this course take..,There is 150+ hours of content. The time it takes to complete the course depends on the speed of the student.
"Please add new sections showing how to leverage existing online cloud infrastructures like GCP,AWS,etc to build & train ML models, this way it will ensure that almost everyone is freed to do it on their end which might be time-consuming & ineffective process of learning because it just spoils the fun of learning when code is taking too long to run and worse even the computer gets frozen !!!!!",Thank you for the suggestion. We'll do the needful.
Course price is little bit high for a student...Do you have any discount program ?,Kindly mail to us for any query regarding the prices.
I am unable to access Netflix Movie recommendation system case study. Please advise,Can you please specify if you are geting any error message if so kindly take the screen shot and mail us the same.We will surely happy to help here.
Can i make career in data science by pursuing this course,Please feel free to call us at +91 8106-920-029 or +91 6301-939-583 so that one of us can have a detailed discussion with you on this.
What is the duration of this course?,A candidate is supposed to complete the course within 12 months from the date of purchasing the course.
Can I study and practice on my core i3/ 8BG RAM laptop?,Yes definitely you can do that.
Please add the genetic algorithms to the course. There is no teacher out there who could teach concepts as you do. Looking forward to additions to the course.,Thanks for your suggestion.
What is the canadian equivalent of the course price?,It is 25000 INR + GST. Please send an email to team@appliedaicourse.com for further information.
I am new to machine learning and data science . I want to take this course. May I know the laptop configuration required in order to complete the course?,please call us on +91-8106920029.
"Hello, i have 4.7 years of experience in Application Support not much on specific technology. I am in this role for longer time and I feel to expose some new technologies which would help me in my career. I would like to enrol for this course but could you please advise if ML will be right path for me to switch my career path now ?",Yes your choice is wise here. Go ahead.
"Sir...... Is ""Debit Card EMI"" option available?
I don't have ""Credit Card"" Please respond....................",Please call us on +91 8106-920-029
Can someone please tell me where can I find lectures on time series in the course?,In Feature Engineering part we have discussed about it.
pls submit pdf sir based on videos,Thanks for the suggestion.
"- Please assign color belt similar to karate belt for keeping the student motivated.
- For example based on completion of video content along with assignments, give the level/percentage of certification completion or send completion certificate ( 75%, 80%, 90% ... ) this could also help students to self promote as well as promote applied AI on linked In.
- Send open source summary links or notes based on completion of videos so that student can read it any time.",Thanks for the suggestion.
"Hi Team,
I have  completed my BE in 2012 in computer science stream but right now i m working on BPO.
But i have sufficient knowledge of programming so can i take this course for a good job grantee purpose.","Yes, you can. Please call us on 91 8106-920-029 for more information."
Can you please provide all the ipynb and csv data files at a single place. It'll be really easy to search for content.,Please send an email to team@appliedaicourse.com
"is there any video on mandatory assignment 2 i.e EDA  explaining what we need to do, like mandatory assignment 1 30 mins video explaing about each sub-question",The video is present at the end of the chapter.
"How to solve questions like this?
Consider the following 2 class problem (w1,w2) classification problem involving a single feature x. Assume equal class priors. The class conditional distributions are:
p(x|w1) = { 2x  0<=x<=1
                       0    otherwise
p(x|w2) = { 2-2x  0<=x<=1
                       0    otherwise
1. derive the bayes decision boundary?
2. What is bayes classification error?
3. What is the new decision boundary if apriori probability of class w1 is changed to 0.7?",Please drop us a mail at team@appliedaicourse.com. We'll be able to help you better
hi i am in b.tech 3rd year  am i eligible for this course as i never worked on  any domain i only know some programming langauge like c python and data structure,"Yes, that will be enough for you to get started as we cover every important detail in the course so that you can learn better. If you have some more queries please drop us a mail at team@appliedaicourse.com so that we can help you better."
What is the laptop system configuration required for this course?,"RAM: Minimum 8GB
Processor: 2.6Ghz(minimum)"
"Processor		Intel Core i3-4005U
Clock-speed		1.7 Ghz
Chipset		Intel QM87 Express
Graphic Processor		Intel HD 4400
RAM DDR3 8 gb will this be ok?",Yes it is sufficient for the course but I will recommend to upgrade ram to 12 GB
In classification business scenarios what is the ideal threshold we set if we are choosing f1 score as a metric and consider a situation where we do not have good domain knowledge also,"We need to get probability values first for the target variable? Then we can take threshold corresponding to max(tpr*1-fpr) as best threshold value. Then once confusion matrix is obtained, we can use it to obtain f1 score."
Is it really necessary to have 8gb RAM in laptop. I cannot upgrade my RAM as it is quite expensive.  Please suggest some other way out because I am really interested in this course.,You can use Google Cloud Platform
"If I need to extend the program , how much should I pay more?",Kindly drop a mail to us we will explain the terms to you.
"Hi Team... 
Can we join live session through mobile....?",It is a desktop app which works only on Windows/Ubuntu/MAC OS platforms.
My laptop has 4GB RAM. Can I take the course with this laptop?,It would be if the RAM is atlease 8gb. Kindly try to upgrade RAM.
Is there any alternative solution to this. It's quite expensive upgrading the RAM,You can use google cloud platform.
"With the sole help of google colab, can we complete the course?",You'll be able to do most of the case studies. There are only 1 or 2 case studies that will require you to go for other platforms.
"Hi, I am currently working as an intern in the mobile application development field. I want to shift my career to Machine Learning. Is this course helpful for me? and Do we need any pre-requirements ( Knowledge on ML) before Taking this course?",There are no pre-requisites for this course. For more details please call us on +91 8106-920-029
Is it a lifetime accessible course?,No. The course is valid for 1 year from date of registration.
"Hi, i am telecom working professional have experience of 6+ years. 
i haven't knowledge of C, C++ & python programs, can  this program is useful for me.",Please call us at +91 8106-920-029 or +91 6301-939-583 so that we can better understand your background and discuss with you in person.
Please mention range of lectures or prerequisite lectures or case studies for completing an assignment !! It will help in solving the assignment in most suitable way :-),Thank you for the feedback. We'll do the needful.
Not able to open  module 1 videos s,Please send an email to team@appliedaicourse.com
"Hello Team -

A Small suggestion is there is a Possibility can you please work on adding Total Hours and hours completed per Module and Chapter ? That would be very helpful to keep us motivated and would be easy to track as well. Example:  Module 2 - Total Hours: 12, Hours remaining: 6. Something of that sort.
This will be very helpful. Thanks in Advance.

Harsha","Yes, thank you for the feedback. We'll do the needful"
who dont have any programming knowledge can learn this and what is there job guarantee,"Yes irrespective of the pre-requisites, the job guarantee is applicable for all those who finishes all the 30 assignments in 1 year. You can refer to the Job guarantee terms and conditions of Applied AI course here"
Can we expect real-world AI case studies as a part of the assignment as well or do we have to pay for it? Please help clear this query.,"Yes, we have real world case studies such as Taxi demand prediction, Facebook friend recommendation, Self driving car, music generation case studies included as assignments in our course. You don't need to pay for case studies."
"sir,In this course do we get to know about YOLO and ssd algorithms","No, we do not cover them here."
data structure and algorithms will required before to take this course or you will teach these topics?,The course does not have any prerequisites.
"Hi AAIC team, we want all our comments that we liked in our profile. because i feel there is a lot to learn even from the comments. i hit like for every comment i feel informative. at the end of the day i want all the comments i liked under my profile section as dropdown button for me. It would be great if you could do that. I feel this is very important for people like me.",Thank you for the suggestion. We'll implement it.
"Hi I'm interested about your course and I'm from mysore is there any online session
Give details to me
Thank you",Please drop an email regarding your query at team@appliedaicourse.com so that we can help you better.
"Hi Sir,
iris = datasets.load_iris()
x = iris['data']
y = iris['target']
tsne = TSNE(n_components=2, perplexity=30, learning_rate=200)

X_embedding = tsne.fit_transform(x)
# if x is a sparse matrix you need to pass it as X_embedding = tsne.fit_transform(x.toarray()) , .toarray() will convert the sparse matrix into dense matrix

for_tsne = np.hstack((X_embedding, y.reshape(-1,1)))
for_tsne_df = pd.DataFrame(data=for_tsne, columns=['Dimension_x','Dimension_y','Score'])
colors = {0:'red', 1:'blue', 2:'green'}
plt.scatter(for_tsne_df['Dimension_x'], for_tsne_df['Dimension_y'], c=for_tsne_df['Score'].apply(lambda x: colors[x]))
plt.show()

how to add legends in this code.

Thanks and regards 
Deelip Kumar","Please try this-

seaborn.FacetGrid(for_tsne, hue = ""target"", size = 10).map(plt.scatter, ""Dimension_x"",""Dimension_y"",""Score"").add_legend()."
"Hi sir,

for_tsne_df = pd.DataFrame(data=for_tsne, columns=['Dimension_x','Dimension_y','Score'])
colors = {0:'red', 1:'blue', 2:'green'}
plt.scatter(for_tsne_df['Dimension_x'], for_tsne_df['Dimension_y'], c=for_tsne_df['Score'].apply(lambda x: colors[x]))
how can i add legend in the above code.

Thanks 
Deelip Kumar",Try adding plt.legend() at the end.
"Hiii 
     I am working as tech support and I want to do job on ML . If I will join the course and go for interview via  applied ai reference  then my tech support experience matter? And can I get job as ML engg after doing tech support job.","Yes, you can get a job as ML engg. Please call us on +91 8106-920-029 for more details."
Do you provide full course at a time.  i mean can i make it within 4 months instead of 6.,"Yes, as soon as you register for the course, you will have access to all the code videos and assignment."
"Earlier I used to see Assignment-2: Apply t-SNE under module - 3, But now I could not see this assignment, is it removed?",The assignment videos are there in instruction part of respective assignments in classrooms.
Does  College CGPA affects Job garuntee provided by the course??,"No, it does not."
If  I enroll for course then I  will get certificate or if we didnot enroll and completed the course will I get certificate,"Certificate will be given to enrolled students when they finish the course. Moreover, not all videos are available if you are not enrolled. Please contact us for futher information."
"Hi 
Can I whether I can get the certificate after completing the Course",Yes you will get a course completion certificate from AppliedAI after you finish 30 assignments.
Is a 6gb RAM and an i3 processor enough to complete the course?,"Well, you can perform some basic assignments with this config. For assignments that are computationally expensive, you can use google colab or Google cloud for free. We will be guiding you in using them for your assignments."
Can I practise ML on ubuntu or is it better to have windows 10?,You can use either of the Operating Systems.
this is not for free course,"Yes, it is not a free course. But, you can watch some free preview videos."
"Hello sir,
I came across a term known as empirical risk minimizer. Can you please explain it to me in simple English?

Thank you sir.","Suppose you have a dataset Z coming from unknown distribution then when we predict the values from the distribution we must have error of prediction as much low as possible.

Empirical risk = E[1/n * sigma Loss(yi^ , yi)] where yi^ is predicted values
where E denots the expected value"
"Hi Team,

My Account was expired. How can i get the access for the python notes. Please let me know.",Please dorp us a mail at team@appliedaicourse.com
"Hi Team,
my name is sawan gupta. I have completed my be in computer science in 2012. but due to not some kind of reason i did not get job in software industries and right now i am working in BPO sector.
So if i joined these course so is there any possibilities  to get a job because it's 7 year to go to complete my graduation and right now i have no knowledge of programming.",Please call us on +91 8106-920-029
"Hello sir,

I really need deep learning right now for my assignment in college. Can you please which all videos do i need to watch before jumping into deep learning (i don't have time to watch all the videos up to module 7). can you please tell me the important videos(i.e., which are prerequisite for deep learning until module 7). so that I can directly jump to module 8.

sorry for this sir
Thank you.",You can watch up to SVMs and then watch deep learning videos.
I learnt about this course from a friend and was really impressed after going through some of the videos. Does the job guarantee program also apply to international students i.e non Indians and those not residing in india?,The job guarantee program is for students from India and USA only.
"please add subtitle for all the video, sometimes cannot heard correctly",Thank you for the suggestion. We will let you know once it is done.
"Hello sir,

In the ridge regression model,  the equation has two parts,   a+lamda(b), where a is the sum of squared errors and b is regularization term. how can we show that as lambda increases, 'a' increases?

Thank you, sir.",Please go through this video.
"Hello sir,

can we prove it mathematically? if yes, can you please explain it?

Thank you sir.","squared loss is (y−y^)2=(y−(W.x+b))2(y−y^)2=(y−(W.x+b))2(y-\hat y)^2 = (y - (W.x+b))^2 and regularization = λ.||W||λ.||W||\lambda.||W||. Now Our aim is to decrease the ( Loss + reg ) so i have the decrease the regularization term as well. Now, If my λλ\lambda increases, my regularization term(λ.||W||λ.||W||\lambda.||W||) will increase but I am trying to decrease the regularization term so ||W||||W||||W|| must decreases while optimization because of the increase in the  λλ\lambda. 
If  ||W||||W||||W|| is decreasing, y^y^\hat y will decrease and squared loss will increase. Another important point is the threshold of  λλ\lambda totally depends on data we have."
"Hi team, as a suggestion, if you could add a Course progress monitoring section for each account like a simple line graph of minutes of content watched each day/ percentage of course completed in one-day on the y-axis and the dates on x-axis, it'd be very much helpful to us, like we'll be able to see if we're maintaining a constant progress or do we need to put in more effort. 

Also, if you could return the grade/marks obtained in each assignment, it'd be more useful than rather just accepted or rejected.
Thank you :)",Thanks for the suggestion! We will let you know once we add such a feature.
Could we get zip extracted folder having all the Jupyter notebooks according the AAIC syllabus contents? It will be very much helpful to refer them easily without  downloading each and every time.,Please send an email to team@appliedaicourse.com
"Hi team,
Is this course syllabus covers all data science Topics",It is difficult for any course to cover all data science topics. We have covered the most useful topics.
"Hi team,
i3 processor,3GB ram and 87.8 hard disk size.....is it sufficient to complete the course?","No, you might find some difficulty in running some assignments. You can use google colab. It's free and offers GPU with 12 gb of ram."
"The course content is very good but I would like to highlight one issue faced by the aspirants enrolled with this course.
The assignments in this course are based on very large dataset because of which it takes frustratingly large time to run and sometimes system also fails due to memory limitation. GCP also does not seem to be very useful.
Ur content is very classy, so if you re-design the assignment and make it a bit aspirant friendly, it would encourage aspirants.",As per our experience here students have not faced much such issue with i5 and 8-12 gb ram is sufficient.
Are you planning to release mobile apps to access the content. It will be an awesome experience with a feature to see videos in offline mode (while commuting etc),Thank you for your feedback. We'll take it into consideration.
is the oops concepts also covered in module 1 for python programming?,No. OOPs are not covered in this course. Please refer this for oops.
is oops concepts to be covered by myself if I opt for this course? I mean is it necessary to know oops concepts,"No, they are not necessary for this course. But it is always better to have a basic understanding of those concepts."
"hello Team,
I live in Hyderabad only. can I go to your office directly instead of talking on phone as i have many queries to discuss.","Yes, you can."
Does paying in emi will let use the full content for that month,Yes you can use full course
Sir course completion percentage is showing wrong? As I have completed some contents and given a completed tick mark.,"The revision questions, interview questions and assignment sections also contribute to the percentage of the course completed. Please check it once."
Wanted to join this course! just have some doubts.  What is the duration of the course..??  what if I directly completes assignments by skipping some chapter.,Please call us at +91 8106-920-029 or +91 6301-939-583 so that we can help you out better
"sir, one thing I would like to ask. To implement these functions it would take long hours to compute output. Please , although silly the doubt is, if you would mention the specification (minimum) to run the algorithm smoothly for a learning point of view keeping in mind the image data set and NLP also with deep learning implementation. On quora etc I read the answers and all pointed towards all those heavy gaming laptops with very high prices.",You can go for i5 procesor with atleast 12GB ram with 1/2 Gb gpu.Thats enough I guess
Can you please add 'search' feature  so that we can search the topics which we need to watch for revising.,Thank you for the suggestion. We'll look into it.
Please add remember me checkbox.,Thanks for the suggestion! We will try to add it soon.
"Will I get a  related certificate from your side  ,after  I successfully completed this course ?","Yes, you will get a certificate upon course completion."
Please add a search option so that we can search for a specific topic,We'll look into it.
"I m experience in electrical and planning feild in Thermal power plant. Is therr any scope here 
I wannted to be a data scientist.
Is this ML will help me",Please call us on +91 8106-920-029
"If I buy this course, will I get lifetime access or access period is limited?",The validity of the course is 365 days.
May I know what is the reason for having a limited time period for this course?,"The reason for having a specific time period is to create seriousness and punctuality among the students and make them finish the course and learn the concepts thoroughly within a specified time.  If there is no specific time period, it might take years and still most of the students will not be completing the course due to lack of seriousness. Also the stuents might gets distracted from the course if they have infinite amount of time. Hence we have specified the validity period as 1 year keeping not only the college students, but also the working professionals in the mind. One year period is a sufficient amount of time for a new bie to start from the scratch and finish the course along with advanced case studies."
Is there us certificate for free videos,You'll get a certificate of completion only if you register for the course and finish all the assignments.
Which is better place to stay for machine learning interview? Bangalore or Delhi?,You have got many companies in Bangalore that hire for ML Engineer/Data Scientist positions when compared to Delhi.
"Hi, I am from manufacturing industry backround with domain experience in materials of around 7 years. Currently I am learning Python programming. My basic qualification is BSC in Chemistry.Please let me know whether I am eligible to learn Machine Learning and chances of getting Job after completion course due to my Non IT background.",Please call us on +91 8106-920-029
is it possible to land a ML job without knowledge in datastructures and algorithms?,"Well, if you are looking for a job in big league companies like Google , Microsoft you need to have a very good knowledge of data structures and algorithms. For other job roles, basic knowledge of data structures and algorithms is good enough."
Iam passedout in2015 year btech  I have an gape no experience is there suitable or not plus conform me,Please give us a call on +91 8106-920-029 or +91 6301-939-583 so that we can better understand your branch and background  and let you know whether its suitable for you or not.
"Hi Team,

How to get access to Dekstop app to attend live session?",Kindly email us the same and we'll resolve your query.
I have a question that how much percentage of ML and DL consist of Natural Language Processing part?,We have covered all the basic tools of NLP required kindly visit the NLP videos for it
"Hi,

There is total 9 chapter in this course. As per google classroom we should start with Assignment-1 which is ""Data visualization"". Bt as per course curriculum SQL is their in Ch-1. - Assigment 22. 

So my question is can we proceed with 1-2-3 and do i need to do SQL assigment first?

Please reply..",You can follow as per the Google Classroom assignment numbers. You can skip the SQL for now.
"hello team,

                    Please include the content for computer vision also in the course and also I have observed that the assignment are not in the sorted order they are randomly placed in the course and also try to include the lastest syllabus for ML as well as AI","Thanks for your review Durgesh !
We are currently working on it and soon update the content."
"what happens when your one year validity is over, we can still have access to course right? only thing is we cannot submit assignments",No. The full access will be lost. You cannot submit the assignments and also you cannot view the video lectures.
"Hi Team, 
Would this course also  cover the contents necessary in the field of Data Science. Also is Machine Learning and Data  Science interrelated? And can we look for an opportunity both in the filed of as Machine Learning Engineer and Data Scientist after successful completion of this course?
Many Thanks.",Please call us at +91 8106-920-029 or +91 6301-939-583 so that we can assist you better.
How long is the course  valid per payment?,The total validity of the course is 365 days/1 year from the date of registration and the course should be completed within this period. For more queries please drop an email to team@appliedaicourse.com.
"Sir, I just want to know is there required any degree and what's the procedure for apply?",Please reach out to us  to have a discussion at 91-8106-920-029(Within India) or mail us at team@appliedaicourse.com
"in numpy if we want to extract value which is less than some value from 1st coloumn then how to do it
ex
data=array([3,  1, 6
             4, 3, 7 
             1, 2 3 ])
i want data<4 from first coloumn","Let a = np.array([2,4,6,8,10])
For example if you want all the values greater than 5 in a given list, then 
1) If you want to get the result in the form of a list, then
b = [x for x in a if x>5]

2) If you want to get the result in the form of an array, then 
c = np.array([x for x in a if x>5])"
Can we add this certificate in LinkedIn?,Yes you can do it.
"Since the course content is huge and candidates' requirements may vary, it would be helpful, I think for many students, if a road-map could be provided detailing the dependencies between the modules. For example, can I complete module 8 without completing module 5...",We actually insist the students to follow the videos in the order they are present. The modules are dependent on previous modules.
"Best YouTube channel for learning machine learning
https://technoidhub.com/technology/best-youtube-channel-for-learning-machine-learning-and-artificial-intelligence/16247/",Thanks for sharing!
any plan to add GANs in the course ??,"Yes, we will try to introduce some of these new topics to the course in the future."
"Hi , I have queries which I need to talk to some representative . Is it possible to schedule it on this weekends",Please drop us a mail regarding your query at team@appliedaicourse.com.
"I Just Graduated my 12th Standard(CS with Maths) with good marks. Can I get this course?.
And what if I am not interested in Job Placements and degree. The only thing is I want to Learn AI.
Please Reply
Thanks in Advanced.",Please call us at 91-8106-920-029. We try to clarify all your queries over the phone.
"can we get all the ipython notebook at a particular location for the content that we have completed , this way it'll be easier for us to browse through different codes and concept easily","For that, you can mail us at team@appliedaicourse.com"
"Hello Verma sir,
 I need your valuable advice regarding the following, 
I am currently doing Masters in CSE(NIT bhopal) and I got a 10 month internship offer from Toshiba company, I wanted to how much help will taking up this intership will do to my ML engineer carrier as the intern role would mostly be on java technology and I 
am looking for ML engineer role in product based companies , so how beneficial is  taking up this intership, or should I only look for companies that offer me internship only in ML as from August I have my campus placement commencing. Am really confused pls share your option in making the decision.
Regards",Please drop an mail to team@appliedaicourse.com regarding this so that we can have discussion with you about the same.
I'm bit weak in maths.... Can I join the course?,"Yes, you can. We have many videos on maths which is useful for machine learning. For further inquiry, you can call us on +91 8106-920-029"
"Two suggestions for the website:
1. Instead of displaying the comments with max votes based on the other students, it would be great if the team instructors can vote the comments and then we could be more sure that which are the most important comments that we should go through.
2. Please add the live session videos to the appropriate module videos for which topic the session was held, so that it becomes easier for us to go through the corresponding live session video after completing a particular topic.","Thanks for your feedback.
1. We already have admin vote and that is given by applied team only for particular questions.
2. Yes, we added for some of the live sessions, we will soon update for the rest of them."
As this is one of the best courses...I'm planning to join this course probably by next 2 months. So what about the companies you are referring..I mean are they product based companies?,"Yes, you can see the portfolios of students on our website and list of companies. For more information send us an email at team@appliedaicourse.com"
How to access assignments?/,They are provided under videos named Assignment.
"Spelling mistake: It should be Assignments but not ""Assigments""",Thank you for the correction Pavan.
Can we learn anything without enrolling by paying money,"We didn't get you. Enrollment will be finished only after you make the payment. Once after you are enrolled, you need to finish the course within a span of 1 year."
if i failed to complete this course within 1 year...then would you help us for interviews and take mock test?,"Yes , surely we will help you along the way. But the job guarantee program won't be applicable."
"A general question sir, after completing module 4 and assignment -9 , I am not able to understand which sequence to follow. Is it should be module 5,6,7,8,9 but assignment numbers in classroom given are in different sequence here as 10th assignment is in 7th module. Then I would have to submit assignment 10 after many like 15,16,17,19 and 20.",Just follow the course content and submit it in that order only as there is in course.
what are the major difference between the case studies in our course and the real time data scientist work in companies,The case studies we have done are on a small scale but are very rigourous and complexity is somewhat same as the work a data scientist does.Please bare with the time unless you learn them.
"Hi sir,
If I will complete all assignment and 
course during the valid duration. What are the chances to get jobs","Once after you finish the assignments, we will conduct a written test followed by 2 mock interviews. Depending on your performance, we'll refer you to the jobs. You need to finish minimum 24 assignments in order to attend an interview."
"Hi sir, that means even after completing 30 assignments, if we perform bad or average in 2  mock interview, you wont refer us to better companies?","Depending on your performance, skillset, previous work experience(if any), the mentors would prepare you for the main interviews and in this process you'll have to clear 2 mock interviews which are taken by ML experts from AppliedAI. If you are able to crack those interviews and build a strong portfolio then only you'll be referred to companies."
"Hi sir, then how job guarantee will work now. if we complete 30 assignments and not clear mock interview , that means no referrals and no placement. now, we will get a refund? as we wont get placed. (According to the job guarantee terms). concerned before joinig the course","The day when you register for the course, within 24 hours you'll be given full access to the course. You need to finish the video lectures & assignments(total 30) within an year. Among these 30 assignments, when you finish the first 15 assignments, you'll have 1 round of mock interview & parallelly you'll be made to work on 16-20 assignments. When you finish 20th assignment, you'll have 2nd mock interview. After that you'll be asked to work on 21-30 assignments.
In case if you fail in any of the mock interview, you'll be given some time & the interview will be rescheduled. 
From the day you have finished all the assignments, you'll will be placed within 6 months from that day. If we are not able to get placed even after putting such huge efforts & finishing the assignments, then your course fee of 25K will be refunded.

But during this 6 months in whichever company they refer you(as per your requirement), you have to attend the interview. Even after that if you're still not yet placed, then the course fee of 25K will be refunded. So far no one has reached this stage of getting refund. All those who have finished the course have got placed."
Do you have placements in european countries like Luxembourg?,"For now, we provide placements in India and USA only."
Which companies have recruited for USA positions in the past?,Please send an email to team@appliedaicourse.com
"If we plot a pairplot for 
1)linear regression 
2)classification problems 
So,what does the Gaussian curve or left/right scwed  plot diagonally mean and what is the inference for only diagonal plots
.","Diagonal plot is the distribution plot of that feature. Hence you see the left or right skewed,depending in the distribution of the feature."
"Kindly Provide options like normal videos (pause, play, fast forward) to previous Live session videos, in the desktop application, It's very hard to see the video without that options.","Thanks for your feedback, we will try to make it. For any other suggestions please drop an mail to team@appliedaicourse.com"
"Hello, I want to enrol for Applied Machine Learning Online Course, I have MACBOOK with i5 processor, 128 GB , 8 GB of RAM. Is my Mac enough for taking this course, or do I need to go for windows laptop with high configuration?",Yes it is farely very well.
"I am from Electrical Engineering background.  I have a basic exposure to programming languages like C,C++ and Python. Could I be able to cope up with syllabi prescribed and learn ML as per your schedule?","Yes, if you give enough attention to the course curriculum with the desire to learn, you will surely be able to complete the course and will be able to master the various machine learning algorithms and will know how and when and where to apply after completion of the course. We will help you along the way and will guide you wherever you feel stuck. For more details please drop us a mail at team@appliedaicourse.com"
Please add Bajaj Finserv Emi card for payment. As lot  of students have them.,Kindly mail us at team@appliedaicourse.com with your query regarding this and we will consider it and tell you the various options regarding it.
Does the Applied AI course comprises of all the case studies ?,Yes the machine learning course comprises all the case studies.
"Hi,  anyone suggest me that above course is sufficient enough for complete Data Science course. 
Applied Machine Learning Online Course (it seems they are more focus only on ML and AI).",If you follow the course thoroghly and learn from you end also as much as you can then along with our continuous support you can definitely land in a job of data scientist.
Is this course enough for me to become a good Data Scientist?,"This course covers all the topics in good depth. Along with the course videos, you also need to complete the assignments and the case studies and clear the mock interview sessions in order to get placed in a good company as a Good ML Engineer/Data Scientist. Moreover completing this course is not the end of your learning. You should never stop learning new stuff."
Where can I find the course syllabus pdf?,You can apply for the schedule of yours and this will give you the whole syllabus in .pdf file.
Iam the new joiner how was the course,Kindly start going through the video lectures. Each and every topic is explained in a crystal clear manner.
"sir i have completed my btech 2019  batch but i dont know any computer languages
can i start this course without any known languages","Dont worry, we will teach every thing from scratch. We recommend you please go through the freely available content after creating an account that will help you understand how hard or easy our programming assignments are. 

Further queries: Please call us at +91 8106-920-029 or +91 6301-939-583 so that we can discuss with you in person"
"Hello sir, i have one year experience in cloud technologies of azure.  It is any help ful to me means adding To  profile",Please email us and we shall get back to you. Thanks.
"Hi AAIC Team , Please add filter  based comments like  sort by newest first, all comments. Etc.. Should be more helpful.",Thank you for the feedback. Kindly send an email to team@appliedaicourse.com regarding suggestions about the AppliedAI website.
"Hi I don't have a good spec laptop(4 gb ram i5 processor) ,will I be able to complete the assignments in course with this laptop once I enrolled or am I allowed google colab to do assignments","Please upgrade the Ram - 8GB ,yes you can use google colab."
"Please add a new section in the website where students can share their complete interview experience- say questions asked, rounds of interview etc.
Also add new text document in each section which lists out the references used. Also list some advanced topics or other relevant topics related to that section and sources if any, may be research papers, research labs or researchers working in a particular area or some other techniques which are not covered in the course but are worth mentioning etc. 
The course is without any doubt brilliant. You can make it even better.","Hi Bharat,
Thanks for your kind review and feedback. We recommend you to join our slack group where students share their interview rounds and discussing lot of questions . If you still have further queries regarding this , kindly mail us at team@appliedaicourse.com"
Some hyperlinks are not clickable in comment section so every time we need to copy paste it to address bar. Please make them clickable hyper link from simple text format.,Most of the links are clickable. Hardly few of them are present in such a way that we have to copy and paste them in the address bar. We will make sure to get rid of this. Kindly cooperate with us and thank you for the feedback.
"Hi Team,
A small suggestion, It will be great if you can make a module for Live sessions. 
As it will the people who missed the Live sessions.
Regards,
vijay",Kindly post the suggestion in our slcak channel or mail us at team@appliedaicourse.com
Can you please add the Live Session Videos  which are being conducted now a days to this free video section or those session should be available for students,We will consider them adding in future.
"Under ""New"" in the jupyter notebook for mac, it also has an option ""Terminal"".
Is it similar to the terminal that we have on the mac?","Yes, it is terminal like that only."
hi i m currently in final year of my BE in civil engineering and i hav almost no knowledge of any coding languages but i m very keen to learn this course and want to persue my carrier in this field. is it possible for me to complete this course and holds a strong resume for getting a job and starts growing there inspite of thefact i m from a non it background...!!!!!!,"We recommend you watch our free videos after creating an account. You will also come across some of our assignments in the free content itself. These assignments and free content will help you understand how hard or easy our assignments are. We strongly recommend you attempt to solve at least one of these assignments to self-evaluate yourself to determine if this course is appropriate for you or not.

Further queries: Please call us at +91 8106-920-029 or +91 6301-939-583 so that we can discuss with you in person."
"on the main ""View course"" screen, for folder within a module, in case it has an assignment, it would help if you could mark it with a post-fix or asterisk. This way when we look inside a module, it is very clear which folders have the assignment. This might help your other courses as well, in case there are lot of folders inside a module",Kindly post the suugestion in our slack channels or directly mail us at team@appliedaicourse.com
Hello ! Could you please enable continuation of video lecture from previously seen time ? That would save the time spent in searching for where the videos were previously left off.,Thanks for the suggestion.Kindly post the suggestion in our slack forum of AppliedAI.
is there a way to download all materials available. at one go,"No, we will provide you specific notebooks at specific points when we discuss those topics."
How many hours will it take to complete the course ?,There is 150+ hours of content. The time it takes to complete the course depends on the speed of the student.
"Hello
I am interested in pursuing the course.. But have no background of programming
Also want to know if there are any healthcare related case studies in the assignments?","Yes, we have a case study regarding Personalized cancer diagnostics. For more details please drop a mail at team@appliedaicourse.com"
"Is 150+ total hours => 
a) just for video content?
b) video + rough assignment time?
c) video + assignment + casestudy time?",It is the total time for the video content.
